§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Dies muss aber unter Wahrung des Datenschutzes geschehen§gesundheit§0.4820472002029419§[('gesundheit', 0.4820472002029419), ('bildung', 0.20402225852012634), ('wissenschaft', 0.06430623680353165)]
0§Midlife-BAföG - ein zweites Bildungssystem für das ganze Leben  Wir Freie Demokraten wollen ein „Midlife-BAföG” von bis zu  Das Programm der Freien Demokraten zur Bundestagswahl  Akademische Weiterbildung stärken  Wir Freie Demokraten wollen Hochschulen stärker für die akademische Weiterbildung und für Lehrangebote jenseits der Erstausbildung öffnen§bildung§0.40536874532699585§[('bildung', 0.40536874532699585), ('gesundheit', 0.1528642475605011), ('klima', 0.09742933511734009)]
0§Aufgrund rechtlicher und finan- zieller Hürden beschränken Hochschulen ihr Weiterbildungs- engagement zumeist auf ausgewählte Ausgründungen und Business Schools§bildung§0.4911525249481201§[('bildung', 0.4911525249481201), ('gesundheit', 0.12454169988632202), ('soziale ursachen', 0.09085510671138763)]
0§Instrumente zur Studienfinanzierung stehen im Regelfall nur für jüngere Altersgruppen zur Verfügung§bildung§0.20744037628173828§[('bildung', 0.20744037628173828), ('gesundheit', 0.16283895075321198), ('soziale ursachen', 0.1439739465713501)]
0§Im fairen Wettbewerb mit den Angeboten privater Hochschulen schaffen wir die rechtlichen und finanziellen Voraussetzun- gen, um Hochschulen zu Bildungseinrichtungen für das ganze Leben weiterzuentwickeln§bildung§0.46501582860946655§[('bildung', 0.46501582860946655), ('gesundheit', 0.11584107577800751), ('soziale ursachen', 0.08342151343822479)]
0§Vier Mal Euro - Weiterbildung, Eigentum und Altersvorsorge  Wir Freie Demokraten wollen mit der Formel „vier Mal Euro” Bildungs-, Sozial- und Wirtschaftspolitik verbinden§bildung§0.4513927102088928§[('bildung', 0.4513927102088928), ('gesundheit', 0.19507057964801788), ('politik und ideologie', 0.13528020679950714)]
0§Unser konkreter Vorschlag lautet: bis zu Euro beim Midlife-BAföG, in einem ersten Schritt zusätzliche Euro   Steuerfreibetrag für Mitarbeiterkapitalbeteiligung und Euro Sparer-Pauschbetrag sowie für jedes neugeborene Kind ein perspektivisch weiter steigender Startbonus von Euro in der gesetzlichen Aktienrente§bildung§0.25779637694358826§[('bildung', 0.25779637694358826), ('gesundheit', 0.24601344764232635), ('klima', 0.12365441024303436)]
0§Damit stärken wir das Eigentum in der Mitte der Gesellschaft und die Chancen auf Weiterbildung und Aufstieg für jeden Menschen§bildung§0.26618900895118713§[('bildung', 0.26618900895118713), ('gesundheit', 0.190036341547966), ('soziale ursachen', 0.1466095894575119)]
0§Das duale System der beruflichen Bildung in Deutschland ist weltweit ein Vorbild und Erfolgsfaktor für unseren Wirtschafts- standort§wirtschaft§0.5978244543075562§[('wirtschaft', 0.5978244543075562), ('bildung', 0.2599767744541168), ('gesundheit', 0.053366221487522125)]
0§Die Verbindung von Praxis im Betrieb und Theorie in der Berufsschule bietet jungen Menschen vielfältige Chancen in der Arbeitswelt§bildung§0.42878440022468567§[('bildung', 0.42878440022468567), ('wissenschaft', 0.14355705678462982), ('gesundheit', 0.11039410531520844)]
0§Zudem trägt sie in Zeiten des demographi- schen Wandels zur Fachkräftesicherung bei — etwa im Hand- werk, in Industrie und Handel sowie in den Freien Berufen§bildung§0.3115691840648651§[('bildung', 0.3115691840648651), ('soziale ursachen', 0.16011986136436462), ('gesundheit', 0.1335628181695938)]
0§Wir Freie Demokraten wollen unser erfolgreiches berufliches Bildungssystem daher stärken und fit für die Zukunft machen§politik und ideologie§0.31084585189819336§[('politik und ideologie', 0.31084585189819336), ('bildung', 0.2682156264781952), ('gesundheit', 0.13369965553283691)]
0§Wer die berufliche Bildung stärkt, stärkt den Mittelstand§bildung§0.5822020173072815§[('bildung', 0.5822020173072815), ('gesundheit', 0.13905280828475952), ('wirtschaft', 0.08122718334197998)]
0§Exzellenzinitiative Berufliche Bildung  Wir Freie Demokraten fordern eine Exzellenzinitiative Beruf- liche Bildung, um die Attraktivität und Innovationskraft der beruflichen Aus- und Weiterbildung zu stärken§bildung§0.34114784002304077§[('bildung', 0.34114784002304077), ('gesundheit', 0.17340503633022308), ('politik und ideologie', 0.144688680768013)]
0§Um sich  den Herausforderungen der digitalen Arbeitswelt zu stellen, braucht das System der beruflichen Bildung ein Update§bildung§0.49106478691101074§[('bildung', 0.49106478691101074), ('gesundheit', 0.14238645136356354), ('soziale ursachen', 0.09328140318393707)]
0§Ein bundesweiter Exzellenzwettbewerb soll die besten Ideen zur Zukunft der beruflichen Bildung mit hochrangigen Auszeich- nungen und mehrjährigen Zuschüssen fördern§politik und ideologie§0.39920714497566223§[('politik und ideologie', 0.39920714497566223), ('bildung', 0.2852545976638794), ('wirtschaft', 0.10690274089574814)]
0§Ein Zentrum für digitale Berufsbildung soll berufsbildende Schulen und ausbildende Betriebe in der Konzeption und Umsetzung digitaler Ausbildungsangebote unterstützen§bildung§0.48019248247146606§[('bildung', 0.48019248247146606), ('gesundheit', 0.15936435759067535), ('soziale ursachen', 0.13753359019756317)]
0§Schulen der beruflichen Bildung wollen wir um kreative MakerSpaces und offene Werkstätten (FabLabs) erweitern§bildung§0.5408913493156433§[('bildung', 0.5408913493156433), ('soziale ursachen', 0.10018271207809448), ('gesundheit', 0.08353542536497116)]
0§Begabtenförderung für Talente der beruflichen Bildung öffnen  Wir Freie Demokraten wollen Talenten der beruflichen Bildung den gleichwertigen Zugang zu den Begabtenförde- rungswerken und zum Deutschlandstipendium ermöglichen§bildung§0.25720471143722534§[('bildung', 0.25720471143722534), ('politik und ideologie', 0.19077220559120178), ('gesundheit', 0.153072327375412)]
0§Neben einer finanziellen Unterstützung ist die Öffnung der ideellen Förderung für Stipendiatinnen und Stipendiaten  aus der beruflichen Aus- und Weiterbildung von Bedeutung§bildung§0.3634152114391327§[('bildung', 0.3634152114391327), ('politik und ideologie', 0.19307436048984528), ('gesundheit', 0.12335564941167831)]
0§Durch eine Öffnung der Förderung schaffen wir attraktive Perspektiven für Talente aus der beruflichen Bildung§bildung§0.4266546666622162§[('bildung', 0.4266546666622162), ('gesundheit', 0.1397007703781128), ('wirtschaft', 0.08772987127304077)]
0§Auch sie sollen künftig von Seminar- und Schulungsangeboten profitie- ren§bildung§0.25903618335723877§[('bildung', 0.25903618335723877), ('wirtschaft', 0.21278154850006104), ('gesundheit', 0.1188109815120697)]
0§So schaffen wir mehr Gleichwertigkeit zwischen akade- mischer und beruflicher Bildung§bildung§0.6247782111167908§[('bildung', 0.6247782111167908), ('gesundheit', 0.12673884630203247), ('wissenschaft', 0.059194669127464294)]
0§Mehr Flexibilität im System der beruflichen Bildung ermöglichen  Wir Freie Demokraten wollen artverwandte Berufe nach Maßgabe der Sozialpartner in Berufsfelder zusammenfassen§bildung§0.5712129473686218§[('bildung', 0.5712129473686218), ('politik und ideologie', 0.10592887550592422), ('gesundheit', 0.09855298697948456)]
0§Das Programm der Freien Demokraten zur Bundestagswahl  In einer ersten Ausbildungsphase sollen zunächst gemein- same Kompetenzen erworben werden§bildung§0.5128673315048218§[('bildung', 0.5128673315048218), ('politik und ideologie', 0.27147868275642395), ('gesundheit', 0.08155172318220139)]
0§Berufsübergreifende Kompetenzen schaffen berufliche Mobilität und Selbstbestim- mung, ohne spezialisierte Kompetenzen in der Ausbildung zu vernachlässigen§bildung§0.45431989431381226§[('bildung', 0.45431989431381226), ('soziale ursachen', 0.2225235104560852), ('gesundheit', 0.07872357964515686)]
0§Sie erhöhen die dauerhafte Beschäftigungs- fähigkeit künftiger Fachkräfte§gesundheit§0.24523507058620453§[('gesundheit', 0.24523507058620453), ('bildung', 0.23073679208755493), ('wirtschaft', 0.20547835528850555)]
0§Das Berufsprinzip mit berufs- spezifischen Abschlussprüfungen bleibt dabei erhalten§bildung§0.5069053173065186§[('bildung', 0.5069053173065186), ('gesundheit', 0.1565825343132019), ('politik und ideologie', 0.06881961226463318)]
0§Internationaler Austausch in der beruflichen Bildung  Wir Freie Demokraten wollen bis mindestens§bildung§0.6159384846687317§[('bildung', 0.6159384846687317), ('politik und ideologie', 0.13200195133686066), ('gesundheit', 0.0566343255341053)]
0§Prozent aller Auszubildenden eine persönliche Auslands- erfahrung ermöglichen§bildung§0.43292236328125§[('bildung', 0.43292236328125), ('gesundheit', 0.3044426739215851), ('soziale ursachen', 0.06589268147945404)]
0§Zugleich wollen wir europäische Jugendliche bei einer Ausbildung in Deutschland mit einem Programm unterstützen§bildung§0.5047929286956787§[('bildung', 0.5047929286956787), ('gesundheit', 0.2185601443052292), ('soziale ursachen', 0.09387817233800888)]
0§In einer globalisierten Arbeitswelt werden sprachliche und interkulturelle Kompetenzen immer wichtiger§bildung§0.4338777959346771§[('bildung', 0.4338777959346771), ('soziale ursachen', 0.1552724689245224), ('gesundheit', 0.10907498002052307)]
0§Analog zum Deutschen Akademischen Austausch- dienst (DAAD) braucht es einen Deutschen Beruflichen Austauschdienst, der Auszubildende, Betriebe und Berufs- schulen bei Auslandsaufenthalten unterstützt§bildung§0.41268670558929443§[('bildung', 0.41268670558929443), ('gesundheit', 0.20564617216587067), ('soziale ursachen', 0.15642336010932922)]
0§Die Programme „Erasmus+” und „AusbildungWeltweit” wollen wir ausbauen§gesundheit§0.24169982969760895§[('gesundheit', 0.24169982969760895), ('bildung', 0.23448990285396576), ('wissenschaft', 0.1268659234046936)]
0§Internationale Wahl- und Zusatzqualifikationen sollen in Aus- und Fortbildungsordnungen verankert und neue internationale Berufe geschaffen werden§bildung§0.43848010897636414§[('bildung', 0.43848010897636414), ('politik und ideologie', 0.10501135885715485), ('gesundheit', 0.0884847417473793)]
0§Zudem müssen die in der Kopen- hagener Erklärung vereinbarten Ziele wie die Anerkennung von Qualifikationen innerhalb der EU konsequent umgesetzt werden§bildung§0.36830973625183105§[('bildung', 0.36830973625183105), ('gesundheit', 0.2773432731628418), ('politik und ideologie', 0.0941355898976326)]
0§Azubi-Botschafter und Aufstiegs-BAföG  Wir Freie Demokraten wollen eine praxisnahe Berufsorientie- rung mit Azubi-Botschaftern auch an Gymnasien§bildung§0.37739846110343933§[('bildung', 0.37739846110343933), ('gesundheit', 0.25493761897087097), ('soziale ursachen', 0.10269635915756226)]
0§Berufsorien- tierungsangebote und Praktika soll es in enger Kooperation mit der Wirtschaft an allen Schulformen geben§wirtschaft§0.5948550701141357§[('wirtschaft', 0.5948550701141357), ('bildung', 0.1320945769548416), ('gesundheit', 0.11370886117219925)]
0§Flächen- deckend wollen wir Jugendberufsagenturen ausbauen§bildung§0.3051091730594635§[('bildung', 0.3051091730594635), ('gesundheit', 0.2279549539089203), ('soziale ursachen', 0.11809350550174713)]
0§Das Aufstiegs-BAföG soll Teilzeitfortbildungen und interdiszipli- näre Bildungswege besser fördern§bildung§0.5135275721549988§[('bildung', 0.5135275721549988), ('gesundheit', 0.12703174352645874), ('soziale ursachen', 0.09084052592515945)]
0§Hybride Angebote und eine bessere Anerkennung bereits erworbener Kompetenzen sollen die Durchlässigkeit zwischen beruflicher und akademi- scher Bildung erhöhen§bildung§0.6178796291351318§[('bildung', 0.6178796291351318), ('gesundheit', 0.10487231612205505), ('klima', 0.0632946565747261)]
0§Der öffentliche Dienst muss berufliche Qualifikationen für höhere Karrierewege gleichberechtigt anerkennen§bildung§0.3527495861053467§[('bildung', 0.3527495861053467), ('gesundheit', 0.13020655512809753), ('soziale ursachen', 0.10450493544340134)]
0§Einstieg in die berufliche Ausbildung unterstützen - Zukunftsgarantie schaffen  Wir Freie Demokraten fordern eine Zukunftsgarantie für junge Menschen, die keinen Ausbildungsplatz finden können§bildung§0.3034323751926422§[('bildung', 0.3034323751926422), ('gesundheit', 0.20577387511730194), ('politik und ideologie', 0.12522195279598236)]
0§Dazu wollen wir das kleinteilige Übergangssystem zwischen Schule und Ausbildung auf ein bundesweites Programm mit regionaler und individueller Ausgestaltung fokussieren sowie regelmäßig evaluieren§bildung§0.3262307047843933§[('bildung', 0.3262307047843933), ('gesundheit', 0.2377859354019165), ('soziale ursachen', 0.12707509100437164)]
0§Unsere Zukunftsgarantie steht auf drei Säulen: Erstens wollen wir die Einstiegsqualifizierung refor- mieren und den Teilnehmenden sozialpädagogisch geschulte Lernprozessbegleiterinnen und -begleiter zur Seite stellen§bildung§0.1860586702823639§[('bildung', 0.1860586702823639), ('wirtschaft', 0.1719386875629425), ('gesundheit', 0.16148741543293)]
0§Zweitens wollen wir außerbetriebliche Ausbildungsangebote   in Regionen mit einer erheblichen Unterversorgung an Aus- bildungsplätzen bedarfsgerecht in enger Abstimmung mit den Sozialpartnern stärken, wobei der Übergang in eine betrieb- liche Ausbildung stets vorrangiges Ziel bleibt§bildung§0.35361942648887634§[('bildung', 0.35361942648887634), ('gesundheit', 0.17862294614315033), ('wirtschaft', 0.11011788994073868)]
0§Drittens wollen wir sicherstellen, dass der Zugang zu Praktika für Schüle- rinnen und Schüler unabhängig von der sozialen Herkunft gewährleistet ist§gesundheit§0.294066458940506§[('gesundheit', 0.294066458940506), ('soziale ursachen', 0.20937509834766388), ('bildung', 0.19112198054790497)]
0§Die berufliche Ausbildung selbst wollen wir durchlässiger gestalten§bildung§0.4364705979824066§[('bildung', 0.4364705979824066), ('gesundheit', 0.19791769981384277), ('wissenschaft', 0.0849962830543518)]
0§Hierzu wollen wir Teilqualifizierun- gen ausbauen, die Ausbildungsdauer flexibilisieren, digitale Ausbildungsangebote fördern und verstärkt Teilzeitausbildun- gen ermöglichen§gesundheit§0.301040381193161§[('gesundheit', 0.301040381193161), ('bildung', 0.2872578799724579), ('soziale ursachen', 0.08345536142587662)]
0§Moderne Hochschulen und beste Forschungsbedingungen sind die Grundlage für Innovation und Fortschritt in unserem Land und weltweit§bildung§0.40653640031814575§[('bildung', 0.40653640031814575), ('wissenschaft', 0.15700563788414001), ('infrastruktur', 0.09385164082050323)]
0§Sie öffnen neue Chancen für unsere Gesellschaft und für die Bekämpfung globaler Herausforde- rungen - sei es beim Klimawandel durch die Entwicklung klimafreundlicher Kraftstoffe oder beim Schutz der Gesund- heit durch neue Impfstoffe§klima§0.29270270466804504§[('klima', 0.29270270466804504), ('gesundheit', 0.2704356014728546), ('bildung', 0.2119549959897995)]
0§Wir wollen für eine moderne Forschungspolitik sorgen, die Chancen in neuen Technologien sieht und mit Gefahren verantwortungsvoll umgeht§bildung§0.2595754563808441§[('bildung', 0.2595754563808441), ('wissenschaft', 0.16276751458644867), ('politik und ideologie', 0.14803145825862885)]
0§Gründung einer European Digital University (EDU)  Wir Freie Demokraten fordern die Gründung einer European Digital University (EDU)§gesundheit§0.2967968285083771§[('gesundheit', 0.2967968285083771), ('bildung', 0.2044176608324051), ('soziale ursachen', 0.13139888644218445)]
0§In vorrangig digitalen Lehrformaten soll diese Dachorganisation in europäischer Trägerschaft Menschen in ganz Europa einen ortsunabhängigen Zugang zu den besten Lehrangeboten ermöglichen§bildung§0.3510669469833374§[('bildung', 0.3510669469833374), ('gesundheit', 0.22863468527793884), ('klima', 0.09432496130466461)]
0§Eine solche EDU soll die verbleibenden Grenzen der Bildungsmobilität über- winden und Menschen unabhängig von ihrer persönlichen Lebenssituation, ihrer sozialen und geographischen Lage die Teilnahme an weltbester Lehre und akademischer Weiter- bildung ermöglichen§bildung§0.3666321337223053§[('bildung', 0.3666321337223053), ('gesundheit', 0.29166948795318604), ('soziale ursachen', 0.10751579701900482)]
0§Als einzigartige Plattform für Lehrende und Lernende soll die EDU die digitalen E-Learning-Angebote der beteiligten staatlichen und privaten Hochschulen aller EU- Mitgliedstaaten zusammenfassen und über die Grenzen der EU hinaus bekannt machen§bildung§0.26543453335762024§[('bildung', 0.26543453335762024), ('gesundheit', 0.18343257904052734), ('politik und ideologie', 0.13495582342147827)]
0§Elternunabhängiges Baukasten-BAföG  Wir Freie Demokraten wollen ein elternunabhängiges Bau- kasten-BAföG einführen§politik und ideologie§0.26757708191871643§[('politik und ideologie', 0.26757708191871643), ('bildung', 0.21936693787574768), ('gesundheit', 0.1877748817205429)]
0§Die freie Wahl des Studiums darf nicht länger von der Unterstützung der Eltern abhängen§bildung§0.37981292605400085§[('bildung', 0.37981292605400085), ('gesundheit', 0.28445056080818176), ('wissenschaft', 0.0907682403922081)]
0§Studierende sollen analog zum bisherigen Kindergeld bezie- hungsweise Kinderfreibetrag der Eltern einen monatlichen So- ckelbetrag von Euro erhalten§bildung§0.2920191287994385§[('bildung', 0.2920191287994385), ('wissenschaft', 0.21417734026908875), ('gesundheit', 0.20993591845035553)]
0§Weitere Euro sollen bei ehrenamtlichem Engagement oder Nebentätigkeiten als Zuschuss gewährt werden§bildung§0.2870238721370697§[('bildung', 0.2870238721370697), ('gesundheit', 0.20147421956062317), ('wirtschaft', 0.11975085735321045)]
0§Darüber hinaus soll ein mondt- lich anpassbares, zinsfreies und erst bei gutem Einkommen rückzahlbares Darlehen die notwendige finanzielle Flexibilität sichern§bildung§0.36975640058517456§[('bildung', 0.36975640058517456), ('gesundheit', 0.2920839190483093), ('wissenschaft', 0.06292243301868439)]
0§Die Förderhöchstdauer soll künftig die Regelstudien- zeit plus zwei Semester umfassen§bildung§0.41809824109077454§[('bildung', 0.41809824109077454), ('gesundheit', 0.20732396841049194), ('wissenschaft', 0.08974806219339371)]
0§Studienfachwechsel sollen keinen Einfluss auf die Gesamtförderdauer haben§bildung§0.2918805778026581§[('bildung', 0.2918805778026581), ('gesundheit', 0.1974753588438034), ('wissenschaft', 0.14622972905635834)]
0§Höchst-  Das Programm der Freien Demokraten zur Bundestagswahl  altersgrenzen werden aufgehoben und Zuverdienstgrenzen werden angehoben§politik und ideologie§0.5631054639816284§[('politik und ideologie', 0.5631054639816284), ('bildung', 0.149266317486763), ('gesundheit', 0.1250678151845932)]
0§Die Beantragung und Verwaltung des BAföG wollen wir vollständig digitalisieren§gesundheit§0.19211935997009277§[('gesundheit', 0.19211935997009277), ('bildung', 0.1672205775976181), ('soziale ursachen', 0.1314675360918045)]
0§Qualitätsoffensive für die Hochschullehre  Wir Freie Demokraten fordern eine Qualitätsoffensive für die Hochschullehre§politik und ideologie§0.23722556233406067§[('politik und ideologie', 0.23722556233406067), ('gesundheit', 0.23429739475250244), ('bildung', 0.22016149759292603)]
0§Mittelzuweisungen des Bundes sollen künftig auch auf Basis qualitätsorientierter Kriterien erfolgen§bildung§0.25437015295028687§[('bildung', 0.25437015295028687), ('soziale ursachen', 0.11768190562725067), ('politik und ideologie', 0.11761961132287979)]
0§Eine bundesweite Beratung soll Hochschulen und Lehrende bei di- daktischen, technischen, datenschutz- und urheberrechtlichen Fragen zu digitaler Lehre unterstützen§bildung§0.4828830361366272§[('bildung', 0.4828830361366272), ('gesundheit', 0.12590084969997406), ('wissenschaft', 0.08933251351118088)]
0§Das starre Kapazitäts- recht, das die Zahl der bereitgestellten Studienplätze regelt, wollen wir grundlegend reformieren, um Hochschulen mehr Investitionen in digitale Lehrangebote, bessere Betreuungs- quoten sowie berufs- und lebensbegleitende Studienmodule zu ermöglichen§gesundheit§0.31391751766204834§[('gesundheit', 0.31391751766204834), ('bildung', 0.18551911413669586), ('soziale ursachen', 0.14508061110973358)]
0§Alle Förderprogramme des Bundes für die Verbesserung der Hochschullehre wie auch zur Forschungs- finanzierung sollen den Hochschulen grundsätzlich unabhän- gig ihrer Trägerschaft offenstehen§bildung§0.3267900049686432§[('bildung', 0.3267900049686432), ('gesundheit', 0.16780926287174225), ('wirtschaft', 0.12321030348539352)]
0§Ausweitung des Erfolgsprogramms Erasmus+  Wir Freie Demokraten wollen das Erfolgsprogramm „Eras- mus+” weiterentwickeln§gesundheit§0.31062453985214233§[('gesundheit', 0.31062453985214233), ('politik und ideologie', 0.29599809646606445), ('bildung', 0.1978508085012436)]
0§Die interkulturelle Verständigung  ist das beste Mittel gegen Populismus und nationale Eng- stirnigkeit§gesundheit§0.4748539328575134§[('gesundheit', 0.4748539328575134), ('bildung', 0.277496337890625), ('klima', 0.06863202154636383)]
0§Wir wollen Großbritannien, der Schweiz, den Beitrittskandidaten, den Staaten der Östlichen Partnerschaft und den Staaten der Europäischen Nachbarschaftspolitik den Status eines Programmlands anbieten§politik und ideologie§0.2634426951408386§[('politik und ideologie', 0.2634426951408386), ('bildung', 0.2396472543478012), ('gesundheit', 0.22032985091209412)]
0§Auch Schülerinnen und Schüler sollen von „Erasmus+” profitieren und unabhängig vom Einkommen der Eltern sechs Monate der Schulzeit im europäischen Ausland absolvieren können§bildung§0.35645008087158203§[('bildung', 0.35645008087158203), ('gesundheit', 0.2408280223608017), ('soziale ursachen', 0.09446754306554794)]
0§Die Vergleich- barkeit und gegenseitige Anerkennung von Zeugnissen und Abschlüssen wollen wir verbessern§gesundheit§0.1857716143131256§[('gesundheit', 0.1857716143131256), ('bildung', 0.17709903419017792), ('wissenschaft', 0.16442334651947021)]
0§Zudem wollen wir ein Erasmus für Lehrkräfte etablieren§gesundheit§0.2701587975025177§[('gesundheit', 0.2701587975025177), ('bildung', 0.263555645942688), ('soziale ursachen', 0.10830274969339371)]
0§Wissenschaftsfreiheit verteidigen  Wir Freie Demokraten verteidigen die Freiheit von Forschung und Lehre§wissenschaft§0.9060673713684082§[('wissenschaft', 0.9060673713684082), ('bildung', 0.026566393673419952), ('gesundheit', 0.01971924677491188)]
0§Wissenschaft lebt von einer offenen Debatten- kultur§wissenschaft§0.5014892816543579§[('wissenschaft', 0.5014892816543579), ('bildung', 0.16753502190113068), ('gesundheit', 0.11608348786830902)]
0§Gesetzliche Zivilklauseln lehnen wir ab§bildung§0.21329304575920105§[('bildung', 0.21329304575920105), ('politik und ideologie', 0.21045218408107758), ('gesundheit', 0.20633412897586823)]
0§Das Ausgren- zen anderer Meinungen (Cancel Culture) widerspricht dem Verfassungsgrundsatz der Freiheit von Forschung und Lehre§bildung§0.2827950119972229§[('bildung', 0.2827950119972229), ('gesundheit', 0.15739914774894714), ('soziale ursachen', 0.15512193739414215)]
0§Innerhalb der Grenzen des Grundgesetzes müssen auch schwer erträgliche Meinungen geäußert werden können§bildung§0.2578611969947815§[('bildung', 0.2578611969947815), ('politik und ideologie', 0.204506054520607), ('gesundheit', 0.1352057009935379)]
0§Deshalb wollen wir wissenschaftseigene Mechanismen der ethischen Selbstkontrolle stärken§wissenschaft§0.6913048028945923§[('wissenschaft', 0.6913048028945923), ('bildung', 0.09823822230100632), ('gesundheit', 0.08509667217731476)]
0§Die politische Einflussnahme der chinesischen Regierung auf die Arbeit der Konfuzius-Ins- titute soll aufgearbeitet und staatliche Co-Finanzierungen der Institute sollen beendet werden§politik und ideologie§0.3635174632072449§[('politik und ideologie', 0.3635174632072449), ('bildung', 0.2532788813114166), ('gesundheit', 0.1270507574081421)]
0§Gemeinsam mit den Ländern, Hochschulen und Wissenschaftseinrichtungen wollen wir eine Nationale Strategie für Cybersicherheit in der Wissenschaft auf den Weg bringen§wissenschaft§0.5063738822937012§[('wissenschaft', 0.5063738822937012), ('bildung', 0.18934501707553864), ('gesundheit', 0.11867749691009521)]
0§Diversität in der Wissenschaft  Wir Freie Demokraten wollen in der Wissenschaft für mehr Diversität sorgen, denn Forschung lebt auch vom Perspektiv- wechsel§wissenschaft§0.7003594040870667§[('wissenschaft', 0.7003594040870667), ('bildung', 0.09350214153528214), ('gesundheit', 0.08521924167871475)]
0§Doch leider zahlen die außeruniversitären For- schungsorganisationen immer noch lieber die Ausgleichsab- gabe, anstatt fünf Prozent der Arbeitsplätze mit Menschen mit Behinderungen zu besetzen§bildung§0.28948402404785156§[('bildung', 0.28948402404785156), ('gesundheit', 0.15973062813282013), ('wirtschaft', 0.12772522866725922)]
0§Leider ist der Anteil von Frauen insbesondere in Führungspositionen und vor allem in MINT- Fächern nach wie vor deutlich zu gering§bildung§0.3096175491809845§[('bildung', 0.3096175491809845), ('gesundheit', 0.2554624378681183), ('politik und ideologie', 0.10315661132335663)]
0§Wir möchten bes- sere Rahmenbedingungen an Hochschulen für Wissenschafts- karrieren schaffen§wissenschaft§0.712631106376648§[('wissenschaft', 0.712631106376648), ('bildung', 0.15312133729457855), ('soziale ursachen', 0.030573273077607155)]
0§Dabei ist uns auch die Vereinbarkeit von Familie und Beruf ein zentrales Anliegen - zum Beispiel durch eine bessere Kinderbetreuung an Hochschulen und die Möglichkeit für Väter und Mütter, ihre Lehrverpflichtungen be- ziehungsweise Forschungszeiten selbstbestimmter festzulegen§bildung§0.275821715593338§[('bildung', 0.275821715593338), ('gesundheit', 0.17520400881767273), ('wirtschaft', 0.11916636675596237)]
0§Des Weiteren setzen wir uns für eine Untersuchung zur Situ- ation von Frauen in der deutschen Wissenschaft ein - nach dem Vorbild des MIT (Massachusetts-Institut für Technologie) Ende der r Jahre§wissenschaft§0.4980619251728058§[('wissenschaft', 0.4980619251728058), ('bildung', 0.27268752455711365), ('gesundheit', 0.10642415285110474)]
0§Grundlagenforschung fördern  Wir Freie Demokraten sehen die Grundlagenforschung als  Basis für Innovation an§bildung§0.30649593472480774§[('bildung', 0.30649593472480774), ('wissenschaft', 0.19773894548416138), ('politik und ideologie', 0.14677856862545013)]
0§Daher wollen wir sie neben der an- gewandten Forschung weiter ausbauen§wissenschaft§0.21105679869651794§[('wissenschaft', 0.21105679869651794), ('gesundheit', 0.18110638856887817), ('bildung', 0.1713002622127533)]
0§Zur Diversifikation  unserer Innovationsstruktur müssen wir eine breit angelegte Grundlagenforschungsinitiative starten und neue Kompeten- zen im Bereich der Spitzentechnologie aufbauen§bildung§0.4367128908634186§[('bildung', 0.4367128908634186), ('gesundheit', 0.09598923474550247), ('wissenschaft', 0.0872500017285347)]
0§Das Programm der Freien Demokraten zur Bundestagswahl   Wie es ist, darf es nicht bleiben: Reformen für ein modernes Land wurden zu lange als Kür abgetan§politik und ideologie§0.48855870962142944§[('politik und ideologie', 0.48855870962142944), ('bildung', 0.13886882364749908), ('gesundheit', 0.12754705548286438)]
0§Es ist Zeit, dass sich das ändert§bildung§0.37815847992897034§[('bildung', 0.37815847992897034), ('gesundheit', 0.3413854241371155), ('klima', 0.061498645693063736)]
0§Modernisierung ist Pflichtprogramm: Die digitale Moder- nisierung unserer Verwaltung und unseres Gesundheitswesens rettet im wahrsten Sinne des Wortes Leben§gesundheit§0.5602867603302002§[('gesundheit', 0.5602867603302002), ('bildung', 0.14392521977424622), ('soziale ursachen', 0.09010441601276398)]
0§Die Modernisierung unseres Sicherheitsapparates stärkt die Handlungsfähigkeit unse- res Rechtsstaats§gesundheit§0.46988579630851746§[('gesundheit', 0.46988579630851746), ('bildung', 0.2781825363636017), ('klima', 0.06858191639184952)]
0§Die Modernisierung des Arbeitsmarktes gibt den Beschäftigten und Betrieben das Rüstzeug für erfolgreiche Veränderungsprozesse an die Hand§bildung§0.3908734619617462§[('bildung', 0.3908734619617462), ('wirtschaft', 0.2222537100315094), ('gesundheit', 0.12770268321037292)]
0§Moderne Mobilität für jede Einzelne und jeden Einzelnen festigt die Selbstbestimmung und die Beteiligungsmöglichkeiten der Menschen§bildung§0.4095568060874939§[('bildung', 0.4095568060874939), ('gesundheit', 0.21996740996837616), ('klima', 0.08010219037532806)]
0§Die Moder- nisierung unseres Staatswesens macht wieder mehr Lust auf Demokratie und stärkt unsere demokratischen Prozesse§politik und ideologie§0.2643863260746002§[('politik und ideologie', 0.2643863260746002), ('gesundheit', 0.23009194433689117), ('bildung', 0.20815789699554443)]
0§handlungsfähigen Staat schaffen§wirtschaft§0.2887061834335327§[('wirtschaft', 0.2887061834335327), ('infrastruktur', 0.221449077129364), ('bildung', 0.11580587178468704)]
